Type,S,Q_1,CA_1,A_1,Q_2,CA_2,A_2,Q_3,A_3,Level,Q_type,Deviation
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Sam: When I left Bold street, I went back to the school and talked to Helen. Is this correct?",No,No,why?,,"Because the story never says he went back to the school or talked to Helen after leaving Bold Street. It only says that later he met Pete and told him what happened, and the scene ends there.",,,3,M,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Pete: I thought Helen didn't know that the store had moved. Is this correct?",Yes,Yes.,why?,,"Because after hearing that Helen knew it was urgent, Pete said “it was probably an honest mistake,” meaning he believed she hadn’t realized the store had moved and wasn’t trying to mislead Sam.",,,3,I,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Helen: I think that Sam wants to buy a birthday card for his grandmother. Did Helen really think this?",No,No.,why?,,"Because Sam told her he needed postage stamps to send a card he already had. He said, “where I can find the nearest store to buy some post stamps? I need to send a card to my granny.” So Helen would think he wanted stamps, not that he needed to buy a birthday card.",,,3,I,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Pete: Sam and I are friends. I told Sam that Helen (our classmate) is the joker of the class. Is this correct?",No,No,why?,,"Because in the story Sam says, “I’ve heard that Helen is a bit of a joker.” Pete never tells Sam that; instead, Pete says she probably wasn’t trying to trick him and it was likely an honest mistake.",,,4,M,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Helen: Sam asked me where there was a shop that sells post stamps. Sam is a friend of Pete's, and we're both in the same class. Is this correct?",Yes,Yes.,why?,,"Because each part matches the dialogue:
- Sam asked Helen: “you don't happen to know where I can find the nearest store to buy some post stamps?”
- The narration says: “Later Sam meets his friend Pete,” so Sam is Pete’s friend.
- Helen introduces herself to Sam: “I’m Helen, I’m in the same class as you,” so Helen and Sam are in the same class.",,,4,M,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Helen: I thought Sam did not believe that I knew the location of the store that sells post stamps. Is this correct?",No,No.,why?,,"Because Sam accepted your directions and went to Chestnut Street, he clearly trusted that you knew. He never expressed doubt at the time—he thanked you and followed your advice. Later he wondered if you might have been joking (questioning your intention), but not whether you knew; the store had simply moved, so it was likely an honest mistake.",,,4,I,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Pete: Sam thinks that Helen is fooling him. What Sam thinks isn't true. Is this what Pete thought?",Yes,Yes,why?,,"Because Pete says he thinks Helen “probably wouldn’t have been deliberately trying to trick you” and that it was “probably an honest mistake.” That means he believes Helen wasn’t fooling Sam, so Sam’s belief is false—exactly what the statement “what Sam thinks isn’t true” says.",,,4,I,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Sam: When I asked Helen about the location of the store that sells post stamps, she told me that it was on Chestnut street. I told her that it has now moved to Bold Street. I then told all this to Pete. Is this correct?",No,No,why?,,"Because you never told Helen about the move. In the story, Helen told you “Chestnut Street,” you later discovered from a sign that it had moved to Bold Street, and you told Pete about that. You did not go back and tell Helen it had moved, so your summary is incorrect.",,,5,M,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Sam: I asked Helen where there was a store that sells post stamps. I had a card for my grandmother that would arrive on time only if I sent it today. Is this correct?",Yes,Yes.,why?,,"Because both parts match what Sam says in the story:
- He asks Helen: “you don’t happen to know where I can find the nearest store to buy some post stamps?”
- He explains urgency: “it’s her birthday tomorrow… I really need to send it today,” and later, “now my granny won’t get her birthday card on time,” implying mailing it that day was necessary for it to arrive on time.",,,5,M,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Pete: Do you know what I thought? I thought that Helen wanted Sam to know that she didn't realize that the store was no longer on Chestnut Street. Is this true?",No,No.,why?,,"Because nothing suggests Helen had that meta-intention. She believed there was a store on Chestnut Street and didn’t know it had moved; you can’t intend to signal ignorance about something you don’t realize. Pete’s conclusion was simply that it was an honest mistake, not that Helen was trying to make Sam aware of her own not-knowing.",,,5,I,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Abi: I sat at the table with Carolyn. Is this correct?",No,No.,why?,,"Because Abi went home sick that morning and wasn’t at lunch. Carolyn sat with Hannah, not Abi.",,,1,M,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Matthias: I am Ama's boyfriend. Is this correct?",Yes,Yes.,why?,,"Because the story explicitly says there was “a free chair next to Ama and her boyfriend, Matthias,” identifying Matthias as Ama’s boyfriend.",,,1,M,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Carolyn: I told Hannah that Ama was at the rehearsal.ÊIs that correct?",Yes,Yes,why?,,"Because in the conversation Carolyn says, “I was in a rehearsal all morning, and actually, Ama was there too,” which is her telling Hannah that Ama was at the rehearsal.",,,2,M,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Hannah: I wanted to sit at the table with Ama. Is that correct?",Yes,Yes.,why?,,"Because she explicitly tried to sit there: she approached Ama and said, “Can I sit here?”—the free chair was next to Ama and Matthias. Later she told Carolyn, “I asked if I could sit at the table with her and Matthias and their friends,” showing that was the table she wanted.",,,2,I,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Ama: I knew that Abi had gone home sick. Is this true?",No,No.,why?,,"Because the story suggests she didn’t know. Carolyn says she and Ama were in rehearsal all morning and probably hadn’t heard Abi went home, and Ama was “saving the seat for Abi,” which she wouldn’t do if she knew Abi was already gone. So her claim to have known isn’t supported and conflicts with her behavior.",,,2,I,
H_3,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Hannah. She is late for the lunch break and when she comes in, all the places are taken. Then, she discovers there is a free chair next to Ama and her boyfriend, Matthias. Hannah: Hi guys, I'm late, can I sit here? Ama: Oh actually, I was saving that seat for Abi. Hannah: Oh, okay. Ama: Sorry! Hannah meets Carolyn. Hannah: Hey Carolyn, can I sit here? Carolyn: Sure. Carolyn: Hey are you OK? You look a bit upset. Hannah: Yeah I'm alright, it's just that Ama is so mean sometimes. Carolyn: What happened? Hannah: Well, I came in to lunch a bit late, and there were hardly any seats left, but when I asked if I could sit at the table with her and Matthias and their friends, Ama said she was saving the seat for Abi! Carolyn: So? Ama and Abi always save seats for each other. Hannah: But Abi went home sick this morning! So Ama couldn't have been saving the seat for her. She was just making up an excuse. Hannah: I think the real reason that she didn't want me to sit with them is that she's jealous. She thinks her boyfriend Matthias has a crush on me, but it isn't true! Carolyn: Well, I didn't know that Abi was off sick. I was in a rehearsal all morning, and actually, Ama was there too, so she probably didn't know either that Abi had gone home. Carolyn: Besides, we sat with her and Matthias at lunch yesterday and that didn't bother her. So I don't think she's jealous of you.
Ama: I told Hannah that Abi had gone home sick. Is this true?",No,No,why?,,"Because in the story Ama only tells Hannah, “I was saving that seat for Abi.” She never says Abi went home sick. It’s Hannah who later says Abi went home sick, and Carolyn suggests Ama probably didn’t even know that.",,,2,M,
